name,time,size,ncells,nfields,error
hdf5-reversible,1.334,492867266,5898240,12,0.0
hdf5-zfp-0.001,0.7944,107915070,5898240,12,0.3911271456564402
hdf5-zfp-0.1,0.7812,60953931,5898240,12,22.62127224638401
hdf5-zfp-0.00001,0.825,166406322,5898240,12,0.003135426386034184
hdf5,1.145,583008256,5898240,12,0.0
native,1.132,566382390,5898240,12,0.0
hdf5-zfp-0.0000001,1.07,225762480,5898240,12,2.4496939234320114e-05
hdf5-zfp-0.000000001,1.376,276634802,5898240,12,3.828410743370907e-07
